Jurisdiction,Year,Category,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Carroll County,2015,Total Hispanic,511,522,495,490,484,429,460,349,357,356,306,210,129,62,35,34,27,32,5288
Baltimore County,2035,Non-Hisp Other Male,3623,3383,3370,3718,3811,4104,3719,3290,3037,2824,2655,2700,2585,2023,1614,1296,644,342,48738
Montgomery County,2045,Non-Hisp White Male,7993,7302,7716,7814,7125,9587,9974,8917,8051,9086,11975,12876,11249,8400,7758,7888,7469,8913,160093
Charles County,2040,Total Non-Hispanic White,2180,2203,2396,2366,2426,2442,2286,2439,2778,2997,2844,2891,2580,2788,3485,3662,2693,2643,48099
Garrett County,2020,Non-Hisp Black Female,42,18,18,16,18,24,9,4,2,2,1,0,0,1,0,1,3,1,160
Calvert County,2025,Hispanic Male,197,169,211,183,174,134,119,132,114,106,100,98,63,44,28,45,13,37,1967
Prince George's County,2030,Non-Hisp White Female,2489,2361,2226,3659,4369,3060,3202,3881,3559,2692,2441,2269,2644,3420,3820,3250,2363,2844,54549
Somerset County,2010,Non-Hisp Other Male,37,51,27,30,53,9,19,14,22,15,24,22,16,13,4,6,2,0,364
St. Mary's County,2015,Non-Hisp Other Female,280,414,388,361,283,202,209,228,218,237,244,189,148,107,73,37,17,8,3643
Harford County,2010,Hispanic Female,463,454,410,337,271,324,364,336,268,263,195,141,91,62,35,51,24,15,4104
Charles County,2015,Total Hispanic,960,848,832,717,753,795,658,621,568,517,441,306,196,117,73,49,38,25,8514
Baltimore County,2030,Non-Hisp Black Female,9675,9913,10265,10489,11107,10750,11423,12072,10775,9803,9607,9538,9806,9584,8046,6106,4141,4627,167727
Montgomery County,2045,Hispanic Female,11971,11822,11350,10708,10231,9941,10307,10251,10346,9475,9062,9450,9169,8508,7270,5465,4590,2631,162547
Washington County,2015,Non-Hisp Other Female,221,488,478,366,252,204,215,211,201,194,180,132,109,67,60,29,5,16,3428
Cecil County,2035,Total Male,4253,4473,4230,3600,3382,4390,4333,3881,3900,3967,3648,3475,3673,3724,3289,2366,1472,1664,63720
Charles County,2045,Non-Hisp Black Male,4566,4894,5272,5442,3748,3512,3567,3708,4084,4372,4176,3435,2772,2379,2600,2345,1515,771,63158
Allegany County,2035,Total Non-Hispanic White,2698,3132,3266,3836,3458,3107,3932,3900,4655,3704,4134,3490,3882,4153,4118,3652,2531,2440,64088
Montgomery County,2035,Non-Hisp Black Male,9154,8209,8871,8236,7119,7313,9191,8092,8928,8323,7097,5969,5259,4549,4321,3139,1853,1439,117062
Frederick County,2030,Total Hispanic,3441,3028,2580,2709,2754,2682,2585,2178,2039,2090,2097,1767,1497,1263,820,462,316,206,34514
Howard County,2035,Non-Hisp Black Female,2879,3179,3503,3153,2249,2584,3116,3793,4232,3869,3585,2764,2430,2444,2247,1555,1013,942,49537
Caroline County,2035,Total Non_Hispanic Other,179,182,177,106,49,128,116,96,84,59,51,42,28,25,23,19,11,6,1381
Cecil County,2015,Hispanic Male,258,273,242,222,233,217,217,186,152,133,110,79,45,30,18,11,6,10,2442
Talbot County,2045,Non-Hisp Other Female,42,56,62,46,36,30,21,74,67,65,54,17,28,7,5,9,7,14,640
Allegany County,2045,Hispanic Male,40,44,44,98,95,85,113,86,114,81,67,59,32,35,32,13,6,4,1048
Baltimore County,2025,Non-Hisp Black Male,9129,9361,9938,9818,8527,8542,9328,8798,7748,7247,7124,7306,6769,5440,3841,2599,1425,1128,124068
Montgomery County,2045,Non-Hisp Black Female,8713,8491,9508,8853,8725,9857,10869,10065,12767,10400,9998,10357,8438,6664,6150,5177,4255,5346,154633
Talbot County,2025,Non-Hisp Black Female,136,131,149,150,165,127,148,147,122,146,165,197,199,219,199,130,141,104,2775
Carroll County,2035,Non-Hisp Other Female,427,430,356,307,204,350,381,358,291,237,214,208,262,237,199,106,67,81,4715
Anne Arundel County,2040,Non-Hisp White Female,9170,8875,9049,9306,9010,10935,9814,9845,10464,10931,11576,10579,9590,9850,10991,11155,8785,10133,180058
Prince George's County,2035,Total Female,27949,26931,26945,30444,32072,30983,29391,30379,33516,33067,29576,28470,27763,27137,25606,22339,17178,24689,504435
Garrett County,2030,Non-Hisp White Male,721,751,777,784,756,734,842,842,817,842,877,955,1072,1169,1021,702,450,340,14452
Baltimore County,2010,Total Non_Hispanic Other,6110,5384,4631,4547,4639,4861,5091,5149,4019,3506,3250,2572,2262,1446,1132,622,353,251,59825
Frederick County,2030,Non-Hisp Black Female,1258,1162,1125,1137,935,1037,1214,1300,1122,1032,1064,1070,1047,942,716,452,300,272,17185
Wicomico County,2035,Non-Hisp Black Male,1393,1276,1432,1473,1376,951,1119,957,1073,1106,891,720,609,644,601,436,228,153,16438
Prince George's County,2035,Hispanic Male,7254,6505,6845,7004,7363,6294,7142,5888,7513,8840,9533,8788,6782,4919,1884,1189,515,105,104363
Prince George's County,2030,Total Non-Hispanic Black,34096,33570,32695,35401,34207,34225,36970,42303,38472,33639,31775,33754,36962,36655,30361,23678,17092,18368,584223
Montgomery County,2015,Non-Hisp Other Female,6312,6865,6901,5933,4739,5913,7327,7885,7991,7860,7489,6510,5380,4383,2976,2135,1279,1221,99099
Dorchester Co,2035,Non-Hisp Other Female,80,55,37,24,24,85,68,67,60,60,64,45,44,27,33,8,6,2,789
Baltimore City,2025,Total Male,19353,17187,16495,19156,21657,23050,26103,26240,23589,19685,16174,16042,15945,13273,9630,6599,3421,2722,296321
Garrett County,2010,Total,1553,1718,1957,2281,1598,1489,1537,1796,2013,2307,2376,2188,2053,1715,1273,916,680,647,30097
Kent County,2030,Total,755,844,907,1333,1402,936,707,958,1214,1077,1216,1300,1693,2198,1886,1394,1111,1169,22100
Caroline County,2040,Total Hispanic,657,575,513,420,290,299,282,276,191,111,106,115,48,38,23,15,13,15,3987
St. Mary's County,2035,Total Non-Hispanic White,6630,6591,6491,5987,5414,6157,6909,7057,7364,7104,6602,5504,4996,5432,5592,4408,2945,3039,104222
Carroll County,2010,Total Non-Hispanic Black,259,339,397,434,349,288,294,387,495,466,415,328,284,187,132,75,46,54,5229
Worcester County,2010,Total Non_Hispanic Other,210,166,178,123,79,70,89,85,72,97,105,69,67,41,31,15,15,16,1528
Queen Anne's County,2015,Total Hispanic,198,199,151,137,117,160,170,151,129,104,95,56,28,18,11,13,8,4,1749
Harford County,2040,Total Non_Hispanic Other,2386,2262,2026,1875,1264,1278,1895,1917,1654,1374,1242,1267,1130,1043,826,533,396,123,24491
Frederick County,2040,Total Non-Hispanic Black,2950,2851,3067,2953,2313,2418,2457,3001,3177,3201,2608,2328,2110,2123,1723,1479,920,664,42343
Cecil County,2040,Total Male,4572,4883,4801,4391,3723,3773,4774,4506,4060,4186,4201,3738,3531,3269,3170,2645,1727,2111,68061
Worcester County,2010,Hispanic Female,93,78,61,46,79,69,72,55,48,35,26,19,14,14,10,7,8,4,738
Worcester County,2025,Total Non_Hispanic Other,194,171,224,269,144,112,95,88,89,114,118,89,122,95,66,38,21,17,2066
Worcester County,2010,Non-Hisp Black Male,213,217,230,289,235,185,188,163,181,252,237,231,164,121,128,78,57,49,3218
Garrett County,2010,Total Female,755,830,923,1044,755,756,756,921,1011,1182,1194,1112,1034,860,630,521,427,437,15148
Somerset County,2030,Non-Hisp Black Male,382,308,293,717,1425,812,683,602,468,348,307,293,216,259,137,80,79,38,7447
Dorchester Co,2010,Hispanic Male,89,54,34,43,53,70,65,46,38,26,21,13,8,9,5,3,2,1,580
Baltimore County,2030,Non-Hisp White Female,8309,8430,9402,11330,10720,10423,10346,10984,12172,12324,11425,11701,13701,16125,16113,13189,10219,12265,209178
Calvert County,2020,Hispanic Male,156,182,189,208,119,109,122,105,100,98,118,93,38,38,34,24,7,28,1768
Somerset County,2035,Total Male,928,857,860,1353,2140,1360,1196,1141,1217,1016,860,835,724,597,717,534,370,263,16968
Caroline County,2030,Non-Hisp White Male,834,790,887,874,753,649,622,679,941,835,801,886,950,976,758,531,314,245,13325
Worcester County,2035,Total Hispanic,226,211,162,145,170,189,197,143,120,199,170,151,126,109,77,41,30,44,2510
Cecil County,2045,Non-Hisp Other Male,371,392,391,381,302,223,184,332,317,270,189,157,126,88,55,15,14,6,3813
Baltimore City,2025,Hispanic Male,1112,1307,1752,1701,1178,644,1051,1862,2260,1861,1379,1004,650,255,165,77,13,7,18278
Howard County,2025,Total Male,11184,11980,12840,11441,9856,11711,12599,11255,11111,10175,10208,10614,11199,9237,6974,5532,3355,2432,173703
State of Maryland,2010,Total Hispanic,50417,41079,35871,35971,43745,50508,48821,40942,34192,27922,20728,14250,9617,6028,4113,2939,1971,1518,470632
Worcester County,2040,Non-Hisp Other Male,115,99,77,60,47,39,116,84,72,59,52,40,54,26,21,26,10,15,1012
Carroll County,2020,Total Non_Hispanic Other,541,528,750,824,475,394,382,313,286,432,439,450,335,241,167,73,43,35,6708
Kent County,2010,Non-Hisp Other Male,38,27,22,32,23,10,12,6,7,7,9,10,8,8,3,1,0,0,223
Allegany County,2045,Total,3150,3368,3448,5030,5338,4587,5018,4997,5000,4801,5834,4565,4601,3577,3553,3394,2862,3075,76198
Caroline County,2020,Hispanic Male,156,141,146,123,109,109,141,98,77,101,64,47,12,14,6,3,1,1,1349
St. Mary's County,2010,Total Hispanic,471,430,389,329,362,395,361,263,254,218,204,106,62,34,40,27,17,10,3972
Wicomico County,2035,Total Non-Hispanic Black,2772,2700,2834,2978,2954,2338,2380,2243,2504,2308,1980,1712,1490,1477,1418,1144,614,499,36345
Washington County,2040,Total Male,6228,6355,6407,6434,6485,6386,6655,6542,5805,5192,5058,4895,4479,4189,4038,3565,2475,2446,93634
Howard County,2020,Hispanic Male,1053,1107,1247,1138,1136,1031,926,952,1002,827,767,565,377,235,127,86,26,12,12614
Talbot County,2045,Non-Hisp Black Female,156,154,177,173,169,161,159,161,171,167,206,195,162,158,148,168,194,244,3123
Talbot County,2035,Non-Hisp Other Female,58,55,47,30,19,73,63,62,54,26,43,21,16,11,8,6,5,12,609
State of Maryland,2020,Non-Hisp Other Female,20097,20580,25165,26181,22119,21161,21508,23501,23614,23026,20484,18906,16308,12609,9863,6431,3899,3060,318512
Montgomery County,2040,Total Non-Hispanic Black,18183,17127,18248,17419,15486,17780,17483,22381,18810,18741,18836,15847,12813,11197,10366,8669,6067,6184,271637
Kent County,2045,Total Female,430,497,494,738,691,415,401,443,468,331,530,804,702,855,804,880,974,1511,11968
Allegany County,2015,Hispanic Female,48,30,35,58,53,30,22,28,42,16,11,10,12,9,6,6,3,7,426
Wicomico County,2045,Hispanic Female,517,499,440,444,337,297,322,383,255,202,227,234,131,102,57,40,13,21,4521
Talbot County,2020,Total Non-Hispanic White,1092,1223,1380,1371,1010,1096,1348,1427,1357,1617,1815,2408,2546,2781,2654,2141,1347,1372,29985
Washington County,2015,Total,7951,9454,9995,9275,8757,9382,9371,9293,9948,11094,11770,10808,9226,7602,5540,4126,3006,3401,149999
Prince George's County,2010,Non-Hisp White Female,2113,1783,1938,4456,6201,3598,3092,2864,3395,4621,5554,5319,4702,3926,3136,2666,2127,2672,64163
Worcester County,2015,Total Non-Hispanic White,1459,1562,1960,1855,1656,1869,1768,1686,2142,2726,3433,3640,3682,3627,3038,2169,1473,1299,41044
Baltimore County,2035,Total Male,25157,25012,25815,27798,27033,25703,24726,24833,26434,26529,24533,22888,21444,21023,19814,16544,10944,10397,406627
Frederick County,2020,Non-Hisp White Male,5116,4752,4991,5934,6071,6428,5784,5452,4829,5503,6810,7931,7092,5608,4401,2793,1850,1723,93068
Talbot County,2020,Total Non-Hispanic Black,246,271,313,335,260,291,267,231,221,284,370,412,371,369,265,206,152,124,4988
Allegany County,2045,Hispanic Female,48,32,35,84,55,30,40,51,67,45,57,27,19,14,25,10,6,18,663
Cecil County,2015,Non-Hisp Black Female,190,209,237,281,261,228,191,242,227,248,287,223,169,97,59,52,27,28,3256
Calvert County,2040,Non-Hisp White Female,1736,2170,2397,2171,1592,1503,1856,2436,2717,2635,2441,2171,1626,1718,2337,2642,1990,2414,38552
Dorchester Co,2035,Hispanic Male,176,165,136,111,90,64,43,48,62,79,91,72,35,25,15,12,7,12,1243
Kent County,2015,Non-Hisp White Male,261,323,359,458,553,384,284,321,300,417,594,556,572,632,528,320,230,193,7285
Wicomico County,2035,Total,7891,7755,7241,9028,9009,8554,7958,8105,8007,7501,6486,6346,5506,5551,5689,4910,3381,3731,122649
Harford County,2030,Hispanic Male,647,672,663,769,913,780,723,548,470,468,423,380,281,201,169,91,70,22,8290
Baltimore City,2020,Total Male,19521,17010,17265,18597,20486,27639,27929,23908,20232,17114,17092,18345,16364,12163,8894,5415,3010,2769,293753
St. Mary's County,2045,Total Non-Hispanic Black,1998,2092,2150,2153,1910,1847,1718,1797,1959,1847,1954,1848,1682,1065,947,801,653,464,28885
Anne Arundel County,2040,Non-Hisp Other Female,2347,2395,2333,2053,1907,1841,2817,2671,2332,1925,1687,1901,1827,1573,1272,1009,831,286,33007
Calvert County,2035,Total Hispanic,436,418,407,393,338,381,370,303,290,256,260,224,109,134,144,63,44,59,4629
Kent County,2015,Total Non-Hispanic Black,149,138,136,155,191,166,141,139,162,188,272,248,181,185,171,89,88,102,2901
Anne Arundel County,2030,Total Non-Hispanic Black,7558,7846,7996,7543,6958,7140,7956,9001,8948,8749,7125,6752,6635,6265,4429,2814,1637,1305,116657
Montgomery County,2010,Non-Hisp Other Male,6652,6314,5819,5222,4250,5189,5781,6413,5942,5989,5461,4337,3641,2735,2051,1265,770,527,78358
Charles County,2045,Hispanic Female,831,823,800,765,716,701,703,712,687,553,571,537,252,249,179,100,85,50,9314
Frederick County,2020,Total Male,7950,7391,8221,9187,8552,8820,7994,7854,7323,8062,9197,9979,8551,6588,4941,3122,2082,1838,127652
Kent County,2040,Total Non-Hispanic White,591,710,687,1015,1014,653,632,752,561,836,1181,1074,1170,1417,1547,1550,1360,1357,18107
St. Mary's County,2045,Total,10673,11042,11475,11185,9475,9227,9707,10915,11316,10507,10691,9919,8746,6485,5762,5826,5010,4920,162881
Frederick County,2015,Hispanic Male,1044,1071,1053,941,872,906,964,962,815,730,608,344,207,142,88,53,30,31,10861
Caroline County,2030,Non-Hisp Other Male,63,50,22,19,67,56,44,41,34,19,16,12,12,10,10,9,5,2,491
Prince George's County,2035,Non-Hisp Other Female,2301,1910,1835,2840,2757,3004,2613,2635,2738,2667,2500,2587,2251,1722,1361,1247,788,615,38371
Washington County,2010,Total Hispanic,655,534,496,422,432,467,470,391,386,279,198,125,90,58,42,24,22,13,5104
Somerset County,2045,Non-Hisp Black Female,277,261,327,1205,1446,338,176,342,363,272,398,97,137,175,146,127,113,154,6354
Caroline County,2035,Non-Hisp White Female,881,903,808,702,617,871,1059,980,982,1060,966,922,869,977,1001,813,559,492,15462
Somerset County,2010,Non-Hisp Black Female,227,211,224,983,1058,241,206,159,209,237,253,183,171,131,115,95,64,94,4861
Dorchester Co,2040,Total Non-Hispanic White,979,1095,1094,1008,959,1096,1114,1314,1180,1446,1604,1722,1469,1454,1554,1388,1077,941,22494
Queen Anne's County,2030,Total Non_Hispanic Other,187,146,115,111,196,180,133,118,90,75,93,123,117,114,80,59,28,0,1965
Wicomico County,2040,Total Non_Hispanic Other,761,773,762,829,561,524,895,845,745,561,549,426,400,320,242,177,92,53,9515
Carroll County,2035,Non-Hisp White Male,3685,4255,4197,3905,3360,3247,3767,4372,4424,4295,3809,3266,3742,4961,5271,4473,3330,4041,72400
Somerset County,2010,Total Non-Hispanic Black,470,432,446,1668,2293,868,703,595,661,687,610,456,343,270,197,157,106,120,11082
Carroll County,2010,Total,9031,11433,12600,12690,9398,7836,7581,10110,13548,15722,14083,11541,9752,7107,4788,3706,3188,3020,167134
Cecil County,2030,Total Hispanic,660,686,578,626,750,649,585,559,471,449,380,304,280,207,125,62,28,26,7425
Queen Anne's County,2030,Non-Hisp Black Female,95,96,112,95,94,96,79,100,188,170,149,116,157,161,155,116,74,96,2149
Montgomery County,2030,Total Non-Hispanic White,18231,19588,19879,16456,11704,15116,18908,25496,28764,26001,21539,21938,24639,26294,25150,22516,17524,16837,376580
Allegany County,2030,Total Non-Hispanic White,2868,3261,3292,3533,3665,3240,4007,4620,3642,3945,3485,3855,4337,4557,4179,3325,2453,2162,64426
Talbot County,2020,Hispanic Male,128,141,135,115,91,96,142,189,115,105,70,54,40,13,9,8,6,8,1465
Kent County,2020,Total,772,898,1030,1488,1244,900,1045,950,953,992,1371,1712,1786,1737,1393,1151,652,822,20896
Caroline County,2035,Non-Hisp White Male,909,891,962,848,721,764,735,733,707,922,917,842,856,907,806,626,355,303,13804
Montgomery County,2020,Non-Hisp White Female,10464,10505,10829,8603,7477,12018,15243,14249,12050,12667,15540,18266,17780,16084,13598,9918,6504,10250,222045
Allegany County,2030,Total Female,1611,1741,1803,2308,2232,1759,2037,2453,1881,2020,1764,2069,2262,2554,2400,2002,1528,1403,35827
Baltimore City,2030,Non-Hisp Other Male,814,687,671,1169,1491,1305,1087,919,1411,1461,1213,1014,733,521,309,150,25,2,14982
Cecil County,2020,Non-Hisp White Female,2069,2178,2603,2549,2126,2492,2641,2427,2528,2840,3565,3817,3645,2911,2276,1573,973,1095,44308
Somerset County,2035,Total Non-Hispanic Black,705,673,677,1838,2573,1315,1055,877,997,517,445,501,361,362,413,248,195,160,13912
Worcester County,2030,Total Non_Hispanic Other,196,208,209,230,188,128,126,101,86,100,127,107,100,100,92,47,26,21,2192
Montgomery County,2020,Total Hispanic,18033,17185,16817,16306,15087,15963,17560,18635,17777,15563,13289,11395,8572,5880,3841,2438,1514,1097,216952
Prince George's County,2035,Non-Hisp Black Male,17371,17517,17248,18122,19012,17318,15673,17258,20397,17747,15434,13791,13889,14394,13599,10115,6466,7025,272376
Howard County,2025,Non-Hisp White Male,3790,3960,4077,3314,3195,5112,5843,4945,4392,3768,4072,5261,6575,5827,4823,3959,2298,1649,76860
Howard County,2030,Total Non_Hispanic Other,6609,7136,7510,7815,7099,7184,7126,7038,6810,7153,6781,6381,5352,4667,3590,2606,1841,1499,104197
Calvert County,2045,Total Non-Hispanic Black,687,719,834,763,668,541,609,753,908,1094,1216,1139,847,833,832,1008,800,633,14884
Charles County,2025,Total Non-Hispanic White,2706,2751,2901,2697,2865,3228,3407,3183,3248,3009,3466,4613,5414,4723,3787,2939,1964,1480,58381
Baltimore County,2045,Non-Hisp White Male,8766,8626,8411,9908,9772,9216,9648,9201,9504,9940,10470,11070,10473,9318,8374,8370,7596,10169,168832
Wicomico County,2045,Total Hispanic,1025,977,864,931,622,550,579,673,487,389,463,564,444,278,130,79,43,38,9136
Frederick County,2015,Total Non-Hispanic Black,1614,1552,1881,1804,1604,1296,1376,1519,1727,1824,1854,1333,920,692,415,294,183,168,22056
Baltimore County,2045,Total Non-Hispanic Black,22264,22900,23700,23911,23118,22451,22222,22536,21224,21682,22950,20418,17609,15908,14479,12802,10158,13008,353340
Harford County,2015,Total Female,6892,7628,8125,8354,7267,7403,7845,7639,8080,9366,10710,9922,8191,6882,5095,3310,2674,3402,128785
Prince George's County,2045,Hispanic Male,7605,6642,6540,6839,7046,6421,7001,6178,7033,5811,7438,8652,9180,8285,3590,2389,1084,272,108006
Kent County,2025,Non-Hisp Other Female,10,6,5,64,59,21,20,9,7,8,7,10,18,17,7,6,4,2,280
Carroll County,2030,Hispanic Male,363,355,331,368,345,305,316,359,322,310,216,193,189,84,59,40,9,29,4193
Worcester County,2020,Hispanic Female,70,71,100,71,76,35,79,66,69,57,48,34,26,18,13,12,8,10,863
Somerset County,2030,Non-Hisp Other Female,38,52,40,52,115,42,42,37,35,20,19,13,10,13,15,8,5,3,559
Wicomico County,2040,Hispanic Male,486,430,357,420,259,271,300,238,191,239,336,326,237,119,61,35,21,13,4339
Allegany County,2025,Total Non-Hispanic Black,129,121,120,648,923,795,1069,893,568,358,309,226,219,73,79,54,40,43,6667
Howard County,2035,Total Non-Hispanic White,5321,6513,7466,6126,4056,4603,6351,8842,10191,8573,7855,6704,7000,8487,10368,9953,7941,7485,133835
Kent County,2020,Total Non-Hispanic White,540,683,720,1130,937,663,742,666,651,758,1073,1366,1494,1475,1216,1009,565,675,16363
State of Maryland,2030,Hispanic Male,32791,30737,29314,32718,30615,28681,24724,26744,30052,32247,29150,23420,18118,12675,7181,4374,1985,1121,396647
Talbot County,2010,Hispanic Female,132,98,64,65,90,112,99,66,57,43,34,19,16,16,17,4,2,8,942
